Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1823,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021079776.446	,2403.323,28.909,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2403.09,108098065,553.625,0.23,624.031,0.26,302.665,0.126,2219.437,0.924,0.182,0.0,17.689,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.356
0,4294967295,1824,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021082207.064	,2407.553,27.295,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2407.29,108138787,554.384,0.23,621.354,0.258,303.124,0.126,2226.309,0.925,0.182,0.0,17.783,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.222
0,4294967295,1825,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021084643.924	,2401.407,29.307,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2401.14,108203368,552.637,0.23,622.015,0.259,302.186,0.126,2218.169,0.924,0.182,0.0,17.664,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.529
0,4294967295,1826,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021087077.754	,2399.668,32.423,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2399.38,108121053,552.653,0.23,619.199,0.258,302.233,0.126,2218.836,0.925,0.182,0.0,17.589,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.525
0,4294967295,1827,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021089508.161	,2405.14,30.739,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2404.86,108317178,552.912,0.23,621.901,0.259,302.321,0.126,2222.11,0.924,0.182,0.0,17.762,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.48
0,4294967295,1828,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021091943.670	,2403.402,30.369,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2402.75,108071568,553.682,0.23,620.753,0.258,302.744,0.126,2222.058,0.925,0.182,0.0,17.711,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.329
0,4294967295,1829,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021094373.312	,2405.94,26.24,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2405.7,108326645,553.057,0.23,623.044,0.259,302.339,0.126,2222.523,0.924,0.182,0.0,17.724,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.456
0,4294967295,1830,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021096809.773	,2407.322,30.521,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2407.09,108219890,553.922,0.23,620.286,0.258,302.903,0.126,2226.678,0.925,0.182,0.0,17.734,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.304
0,4294967295,1831,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021099244.369	,2401.963,27.274,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2401.71,108081843,553.39,0.23,618.474,0.258,302.646,0.126,2222.353,0.925,0.182,0.0,17.769,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.397
0,4294967295,1832,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021101685.262	,2398.887,38.93,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2398.62,108013292,553.029,0.231,618.28,0.258,302.442,0.126,2219.401,0.925,0.182,0.0,17.667,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.46
0,4294967295,1833,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021104117.069	,2401.291,32.92,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2401.04,108020503,553.55,0.231,621.231,0.259,302.673,0.126,2219.45,0.924,0.182,0.0,17.632,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.369
0,4294967295,1834,1,matmul_kernel,matmul_kernel,static,AI_CORE,1775117021106547.384	,2398.298,29.024,4096,0,YES,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT,ND,N/A,2398.05,108038537,552.768,0.231,618.407,0.258,302.261,0.126,2218.552,0.925,0.182,0.0,17.673,0.007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.507
