Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,matmul_kernel,AI_CORE,1,135,345.984,1775117018918640.585	,1775117018918986.569	
0,matmul_kernel,AI_CORE,1,136,346.938,1775117018919018.170	,1775117018919365.108	
0,matmul_kernel,AI_CORE,1,137,350.186,1775117018919402.482	,1775117018919752.668	
0,matmul_kernel,AI_CORE,1,138,346.924,1775117018919782.389	,1775117018920129.313	
0,matmul_kernel,AI_CORE,1,139,347.741,1775117018920160.135	,1775117018920507.876	
0,matmul_kernel,AI_CORE,1,140,351.052,1775117018920538.598	,1775117018920889.650	
0,matmul_kernel,AI_CORE,1,141,350.299,1775117018920921.602	,1775117018921271.901	
0,matmul_kernel,AI_CORE,1,142,346.175,1775117018921302.326	,1775117018921648.501	
0,matmul_kernel,AI_CORE,1,143,350.827,1775117018921683.505	,1775117018922034.332	
0,matmul_kernel,AI_CORE,1,144,346.049,1775117018922065.553	,1775117018922411.602	
0,matmul_kernel,AI_CORE,1,145,350.1,1775117018922442.917	,1775117018922793.017	
0,matmul_kernel,AI_CORE,1,146,349.353,1775117018922823.279	,1775117018923172.632	
0,matmul_kernel,AI_CORE,1,147,346.3,1775117018923208.054	,1775117018923554.354	
0,matmul_kernel,AI_CORE,1,148,349.48,1775117018923587.956	,1775117018923937.436	
0,matmul_kernel,AI_CORE,1,149,345.585,1775117018923968.433	,1775117018924314.018	
0,matmul_kernel,AI_CORE,1,150,348.183,1775117018924342.846	,1775117018924691.029	
0,matmul_kernel,AI_CORE,1,151,348.852,1775117018924722.810	,1775117018925071.662	
0,matmul_kernel,AI_CORE,1,152,348.939,1775117018925100.640	,1775117018925449.579	
0,matmul_kernel,AI_CORE,1,153,346.787,1775117018925480.907	,1775117018925827.694	
0,matmul_kernel,AI_CORE,1,154,346.364,1775117018925857.505	,1775117018926203.869	
0,matmul_kernel,AI_CORE,1,155,349.092,1775117018926236.068	,1775117018926585.160	
0,matmul_kernel,AI_CORE,1,156,350.258,1775117018926616.182	,1775117018926966.440	
0,matmul_kernel,AI_CORE,1,157,348.771,1775117018926998.984	,1775117018927347.755	
0,matmul_kernel,AI_CORE,1,158,350.671,1775117018927374.254	,1775117018927724.925	
0,matmul_kernel,AI_CORE,1,159,347.143,1775117018927755.178	,1775117018928102.321	
0,matmul_kernel,AI_CORE,1,160,351.304,1775117018928132.040	,1775117018928483.344	
0,matmul_kernel,AI_CORE,1,161,351.584,1775117018928514.123	,1775117018928865.707	
0,matmul_kernel,AI_CORE,1,162,346.812,1775117018928896.998	,1775117018929243.810	
0,matmul_kernel,AI_CORE,1,163,348.13,1775117018929273.005	,1775117018929621.135	
0,matmul_kernel,AI_CORE,1,164,350.801,1775117018929650.616	,1775117018930001.417	
0,matmul_kernel,AI_CORE,1,165,348.503,1775117018930029.631	,1775117018930378.134	
0,matmul_kernel,AI_CORE,1,166,348.334,1775117018930409.051	,1775117018930757.385	
0,matmul_kernel,AI_CORE,1,167,350.962,1775117018930791.591	,1775117018931142.553	
0,matmul_kernel,AI_CORE,1,168,349.098,1775117018931173.627	,1775117018931522.725	
0,matmul_kernel,AI_CORE,1,169,348.358,1775117018931549.355	,1775117018931897.713	
0,matmul_kernel,AI_CORE,1,170,347.987,1775117018931927.974	,1775117018932275.961	
0,matmul_kernel,AI_CORE,1,171,349.951,1775117018932305.476	,1775117018932655.427	
0,matmul_kernel,AI_CORE,1,172,348.159,1775117018932687.745	,1775117018933035.904	
0,matmul_kernel,AI_CORE,1,173,349.936,1775117018933064.617	,1775117018933414.553	
0,matmul_kernel,AI_CORE,1,174,347.182,1775117018933447.688	,1775117018933794.870	
0,matmul_kernel,AI_CORE,1,175,348.82,1775117018933827.555	,1775117018934176.375	
0,matmul_kernel,AI_CORE,1,176,348.485,1775117018934205.499	,1775117018934553.984	
0,matmul_kernel,AI_CORE,1,177,347.211,1775117018934585.801	,1775117018934933.012	
0,matmul_kernel,AI_CORE,1,178,348.025,1775117018934963.911	,1775117018935311.936	
0,matmul_kernel,AI_CORE,1,179,348.249,1775117018935342.511	,1775117018935690.760	
0,matmul_kernel,AI_CORE,1,180,348.152,1775117018935721.238	,1775117018936069.390	
0,matmul_kernel,AI_CORE,1,181,347.46,1775117018936101.263	,1775117018936448.723	
0,matmul_kernel,AI_CORE,1,182,348.052,1775117018936479.544	,1775117018936827.596	
0,matmul_kernel,AI_CORE,1,183,347.826,1775117018936858.855	,1775117018937206.681	
0,matmul_kernel,AI_CORE,1,184,353.581,1775117018937235.524	,1775117018937589.105	
0,matmul_kernel,AI_CORE,1,185,346.675,1775117018937621.662	,1775117018937968.337	
0,matmul_kernel,AI_CORE,1,186,348.478,1775117018937998.978	,1775117018938347.456	
0,matmul_kernel,AI_CORE,1,187,348.835,1775117018938376.639	,1775117018938725.474	
0,matmul_kernel,AI_CORE,1,188,348.999,1775117018938753.018	,1775117018939102.017	
0,matmul_kernel,AI_CORE,1,189,348.452,1775117018939132.506	,1775117018939480.958	
0,matmul_kernel,AI_CORE,1,190,349.51,1775117018939510.451	,1775117018939859.961	
0,matmul_kernel,AI_CORE,1,191,348.454,1775117018939890.475	,1775117018940238.929	
0,matmul_kernel,AI_CORE,1,192,349.07,1775117018940270.594	,1775117018940619.664	
0,matmul_kernel,AI_CORE,1,193,351.107,1775117018940649.601	,1775117018941000.708	
0,matmul_kernel,AI_CORE,1,194,348.251,1775117018941029.913	,1775117018941378.164	
0,matmul_kernel,AI_CORE,1,195,347.306,1775117018941408.266	,1775117018941755.572	
0,matmul_kernel,AI_CORE,1,196,349.573,1775117018941787.608	,1775117018942137.181	
0,matmul_kernel,AI_CORE,1,197,348.569,1775117018942170.298	,1775117018942518.867	
0,matmul_kernel,AI_CORE,1,198,348.26,1775117018942546.588	,1775117018942894.848	
0,matmul_kernel,AI_CORE,1,199,347.898,1775117018942926.287	,1775117018943274.185	
0,matmul_kernel,AI_CORE,1,200,348.203,1775117018943306.653	,1775117018943654.856	
0,matmul_kernel,AI_CORE,1,201,347.726,1775117018943687.017	,1775117018944034.743	
0,matmul_kernel,AI_CORE,1,202,347.252,1775117018944066.192	,1775117018944413.444	
0,matmul_kernel,AI_CORE,1,203,348.937,1775117018944444.814	,1775117018944793.751	
0,matmul_kernel,AI_CORE,1,204,349.186,1775117018944823.819	,1775117018945173.005	
0,matmul_kernel,AI_CORE,1,205,348.029,1775117018945202.062	,1775117018945550.091	
0,matmul_kernel,AI_CORE,1,206,346.532,1775117018945582.043	,1775117018945928.575	
0,matmul_kernel,AI_CORE,1,207,349.033,1775117018945959.718	,1775117018946308.751	
0,matmul_kernel,AI_CORE,1,208,347.966,1775117018946340.832	,1775117018946688.798	
0,matmul_kernel,AI_CORE,1,209,347.435,1775117018946718.117	,1775117018947065.552	
0,matmul_kernel,AI_CORE,1,210,346.038,1775117018947096.520	,1775117018947442.558	
0,matmul_kernel,AI_CORE,1,211,349.897,1775117018947473.510	,1775117018947823.407	
0,matmul_kernel,AI_CORE,1,212,348.503,1775117018947854.974	,1775117018948203.477	
0,matmul_kernel,AI_CORE,1,213,349.211,1775117018948236.326	,1775117018948585.537	
0,matmul_kernel,AI_CORE,1,214,348.573,1775117018948617.386	,1775117018948965.959	
0,matmul_kernel,AI_CORE,1,215,349.538,1775117018948998.224	,1775117018949347.762	
0,matmul_kernel,AI_CORE,1,216,349.098,1775117018949380.701	,1775117018949729.799	
0,matmul_kernel,AI_CORE,1,217,347.768,1775117018949760.198	,1775117018950107.966	
0,matmul_kernel,AI_CORE,1,218,348.011,1775117018950139.405	,1775117018950487.416	
0,matmul_kernel,AI_CORE,1,219,351.169,1775117018950518.548	,1775117018950869.717	
0,matmul_kernel,AI_CORE,1,220,349.441,1775117018950900.270	,1775117018951249.711	
0,matmul_kernel,AI_CORE,1,221,348.737,1775117018951277.765	,1775117018951626.502	
0,matmul_kernel,AI_CORE,1,222,348.955,1775117018951657.330	,1775117018952006.285	
0,matmul_kernel,AI_CORE,1,223,348.301,1775117018952038.724	,1775117018952387.025	
0,matmul_kernel,AI_CORE,1,224,347.396,1775117018952416.820	,1775117018952764.216	
0,matmul_kernel,AI_CORE,1,225,347.018,1775117018952792.718	,1775117018953139.736	
0,matmul_kernel,AI_CORE,1,226,349.336,1775117018953170.487	,1775117018953519.823	
0,matmul_kernel,AI_CORE,1,227,350.812,1775117018953553.336	,1775117018953904.148	
0,matmul_kernel,AI_CORE,1,228,348.473,1775117018953932.654	,1775117018954281.127	
0,matmul_kernel,AI_CORE,1,229,347.82,1775117018954311.360	,1775117018954659.180	
0,matmul_kernel,AI_CORE,1,230,347.735,1775117018954690.593	,1775117018955038.328	
0,matmul_kernel,AI_CORE,1,231,347.241,1775117018955071.732	,1775117018955418.973	
0,matmul_kernel,AI_CORE,1,232,349.506,1775117018955446.835	,1775117018955796.341	
0,matmul_kernel,AI_CORE,1,233,347.648,1775117018955828.927	,1775117018956176.575	
0,matmul_kernel,AI_CORE,1,234,348.703,1775117018956207.421	,1775117018956556.124	
0,matmul_kernel,AI_CORE,1,235,349.071,1775117018956587.020	,1775117018956936.091	
0,matmul_kernel,AI_CORE,1,236,348.407,1775117018956966.612	,1775117018957315.019	
0,matmul_kernel,AI_CORE,1,237,347.156,1775117018957348.183	,1775117018957695.339	
0,matmul_kernel,AI_CORE,1,238,347.287,1775117018957724.984	,1775117018958072.271	
0,matmul_kernel,AI_CORE,1,239,349.927,1775117018958103.548	,1775117018958453.475	
0,matmul_kernel,AI_CORE,1,240,346.626,1775117018958484.724	,1775117018958831.350	
0,matmul_kernel,AI_CORE,1,241,348.683,1775117018958861.381	,1775117018959210.064	
0,matmul_kernel,AI_CORE,1,242,349.306,1775117018959240.547	,1775117018959589.853	
0,matmul_kernel,AI_CORE,1,243,349.518,1775117018959619.800	,1775117018959969.318	
0,matmul_kernel,AI_CORE,1,244,346.951,1775117018960000.052	,1775117018960347.003	
0,matmul_kernel,AI_CORE,1,245,348.378,1775117018960377.629	,1775117018960726.007	
0,matmul_kernel,AI_CORE,1,246,348.348,1775117018960756.418	,1775117018961104.766	
0,matmul_kernel,AI_CORE,1,247,348.88,1775117018961135.737	,1775117018961484.617	
0,matmul_kernel,AI_CORE,1,248,347.477,1775117018961512.560	,1775117018961860.037	
0,matmul_kernel,AI_CORE,1,249,347.364,1775117018961892.968	,1775117018962240.332	
0,matmul_kernel,AI_CORE,1,250,348.529,1775117018962266.103	,1775117018962614.632	
0,matmul_kernel,AI_CORE,1,251,347.599,1775117018962641.644	,1775117018962989.243	
0,matmul_kernel,AI_CORE,1,252,347.208,1775117018963017.287	,1775117018963364.495	
0,matmul_kernel,AI_CORE,1,253,347.461,1775117018963396.017	,1775117018963743.478	
